﻿Dato,Wind,Temp,Sun,MWh,Flow
07-07-2020 00:00,4.71,11.42,251,129210,5662.13
08-07-2020 00:00,4.25,11.17,339,132539,5820.54
09-07-2020 00:00,1.88,11.96,534,115760,5394.19
10-07-2020 00:00,3.38,10.79,282,120872,5631.41
11-07-2020 00:00,5.17,12.04,520,117824,5476.34
12-07-2020 00:00,4.21,12.83,239,116071,5421.51
13-07-2020 00:00,2.96,13.96,357,112611,5389.56
14-07-2020 00:00,2.67,13.58,131,105582,5165.82
15-07-2020 00:00,2.13,13.08,267,107373,5197.91
16-07-2020 00:00,1.79,13.96,434,97862,4952.66
17-07-2020 00:00,1.83,14.79,505,92367,4833.19
18-07-2020 00:00,2.29,17.33,201,77425,4614.87
19-07-2020 00:00,2.33,17,57,74429,4374.65
20-07-2020 00:00,3.92,13.5,481,89264,4716.8
21-07-2020 00:00,4.17,12.83,553,94727,4863.32
22-07-2020 00:00,3.38,12.21,513,95581,4896
23-07-2020 00:00,2.5,12.13,53,104649,5060.57
24-07-2020 00:00,4.5,14.33,291,98712,4842.76
25-07-2020 00:00,2.08,14.83,237,92756,4605.5
26-07-2020 00:00,4.17,15.75,157,86719,4515.4
27-07-2020 00:00,3.08,15.13,240,94475,4769.41
28-07-2020 00:00,5.29,14.67,214,95013,4756.48
29-07-2020 00:00,5.88,12.54,75,117758,5843.82
30-07-2020 00:00,5.17,13.38,312,120698,4689.57
31-07-2020 00:00,1.75,15.63,771,102013,4689.57
01-08-2020 00:00,3.75,18.13,551,77800,4116.81
02-08-2020 00:00,3.29,15.21,162,79602,4176.22
03-08-2020 00:00,2.46,13.46,588,79602,4424.7
04-08-2020 00:00,2.42,12.96,653,97110,4579.56
05-08-2020 00:00,4,15.88,59,91292,4449.34
06-08-2020 00:00,2.25,19.83,428,80321,4182.67
07-08-2020 00:00,1.71,21.67,787,69782,3953.27
08-08-2020 00:00,1.13,21.83,632,57775,3381.68
09-08-2020 00:00,1.38,21.04,664,54254,3428.59
10-08-2020 00:00,2.21,21.67,761,58266,3611.06
11-08-2020 00:00,2.71,21.79,739,55331,3613.46
12-08-2020 00:00,3.58,20.38,786,56082,3573.92
13-08-2020 00:00,2.38,20.25,830,57554,3650.36
14-08-2020 00:00,1.63,19.08,814,56665,3643.94
15-08-2020 00:00,1.25,19.38,720,53067,3777.88
16-08-2020 00:00,2.54,21.79,725,50542,3953.73
17-08-2020 00:00,3.21,21.92,763,51762,3475.27
18-08-2020 00:00,1.38,17.88,268,54572,3555.37
19-08-2020 00:00,1.25,17.42,505,59644,3642.32
20-08-2020 00:00,2.08,17.83,63,61777,3761.89
21-08-2020 00:00,4.63,19.88,251,61720,3714.74
22-08-2020 00:00,4.5,17.38,293,61950,3720.09
23-08-2020 00:00,3.33,14.54,293,72128,3816.27
24-08-2020 00:00,1.96,13.25,250,87507,4085.37
25-08-2020 00:00,2.58,12.96,335,96143,4503.35
26-08-2020 00:00,3.17,15.42,59,86820,4263.98
27-08-2020 00:00,3.29,13.38,275,97323,4662.75
28-08-2020 00:00,2.79,13,14,109937,4910.2
29-08-2020 00:00,1.04,13.58,96,104025,4629.04
30-08-2020 00:00,2.25,13.54,392,101687,4683.21
31-08-2020 00:00,1.38,13.08,455,104810,4800.22
01-09-2020 00:00,1.67,12.29,649,111414,4959.67
02-09-2020 00:00,1.38,13.96,635,104033,4759.85
03-09-2020 00:00,3.08,12.75,150,111379,4924.06
