MWh;Flow;Middel vind;Middel temp;Sol i minutter;Dato
315055;8794,77;6,38;10,08;73;24/02/2021
314914;9043,49;4,83;6,96;164;25/02/2021
342237;9766,6;5,21;4,58;276;26/02/2021
300469;8859,17;3,83;5,46;390;27/02/2021
333564;9872,87;3,83;3,71;140;28/02/2021
342240;9822,01;3,13;3,75;381;01/03/2021
365961;10375,86;1;1;242;02/03/2021
364675;10400,33;2,04;1,29;167;03/03/2021
347774;9970,68;3,42;1,5;399;04/03/2021
389595;11089,6;1,17;-0,5;572;05/03/2021
382721;10670,32;6;2,33;194;06/03/2021
374000;10517,75;4,83;2,04;276;07/03/2021
410097;11535,62;1,33;-0,79;557;08/03/2021
391251;11071,91;1,75;0,08;594;09/03/2021
420172;11702,13;4,83;0,88;45;10/03/2021
387484;10874,93;8,17;4,71;0;11/03/2021
385029;10811,89;6,13;3,75;18;12/03/2021
374806;10530,41;3,42;2,54;14;13/03/2021
366368;10430,79;5,29;3,58;193;14/03/2021
384056;10983,09;5,08;3,33;133;15/03/2021
362615;10472,95;2,83;2,33;421;16/03/2021
366380;10608,1;1,67;2,17;309;17/03/2021
360578;10574,33;1,75;1,92;428;18/03/2021
383529;11082,29;2,46;0,29;388;19/03/2021
391603;11046,78;5,67;2,83;10;20/03/2021
344781;10079,84;5,67;4;504;21/03/2021
366605;10516,59;4,33;4,04;41;22/03/2021
361526;10546,57;4,13;4,58;1;23/03/2021
340916;10251,06;4,38;6;43;24/03/2021
335049;10298,33;3,33;5,04;209;25/03/2021
325842;9937,71;3,79;6,96;20;26/03/2021
303969;9323,96;4,46;4,83;223;27/03/2021
327994;9706,25;6;5,63;3;28/03/2021
327752;9817,36;6,63;7,88;5;29/03/2021
265781;8404,78;4,25;8,58;641;30/03/2021
236748;7849,66;2,42;8,88;600;31/03/2021
240879;7932,14;4,04;6,17;389;01/04/2021
271604;8507,11;4,67;5,13;505;02/04/2021
276719;8799,62;1,54;4,04;688;03/04/2021
294698;9180,62;6,83;4,96;4;04/04/2021
354813;10094,04;8,21;1,58;332;05/04/2021
369760;10488,52;7,13;2,17;360;06/04/2021
355051;10132,46;6,5;3,13;263;07/04/2021
384497;10855,15;6,54;3,21;105;08/04/2021
329503;9573,72;7,54;4,17;344;09/04/2021
322122;9504,24;3,21;3;547;10/04/2021
355889;10316,89;4,33;1,13;9;11/04/2021
358312;10278,29;4,96;2,58;410;12/04/2021
338497;9661,19;5,5;3,67;395;13/04/2021
326192;9295,95;2,17;3,33;435;14/04/2021
325813;9379,82;2,21;4;523;15/04/2021
293691;8732,28;2,54;5,29;588;16/04/2021
264294;7984,51;3;7,08;461;17/04/2021
219105;6934;2,46;9,25;613;18/04/2021
200710;6476,93;2,58;10,21;792;19/04/2021
187487;6220,04;2,13;9,21;787;20/04/2021
218393;6913,09;7,79;6,08;386;21/04/2021
262820;7908,27;7,21;5,83;548;22/04/2021
253049;7742,06;4,88;5,63;588;23/04/2021
241851;7498,31;3,54;4,54;743;24/04/2021
252897;7784,57;2,42;3,63;641;25/04/2021
265016;7986,29;1,04;3,63;525;26/04/2021
258305;7833,39;1,79;4,58;700;27/04/2021
246765;7542,55;3,42;6,29;446;28/04/2021
264003;7870,69;4,67;7,04;106;29/04/2021
272534;8017,29;2,17;5,92;21;30/04/2021
234439;7097,75;2,79;7,42;194;01/05/2021
245910;7381,66;2,63;6,63;60;02/05/2021
262166;7784,7;4,08;6,21;427;03/05/2021
268769;8034,9;4,96;6,08;10;04/05/2021
269197;8249,62;4;5,83;51;05/05/2021
282510;8810,85;3,79;4,5;114;06/05/2021
277055;8708,49;3,33;4,71;277;07/05/2021
248736;7967,74;4,13;7,21;469;08/05/2021
188313;6565,57;4,63;13,75;426;09/05/2021
156469;5889,78;3,42;13,63;287;10/05/2021
179293;6378,7;2,54;11,04;44;11/05/2021
196992;6550,52;3,29;10,13;7;12/05/2021
208839;6511,14;2,63;9,42;6;13/05/2021
215793;6609,35;2,83;8,96;20;14/05/2021
235025;7463,09;2,75;7,13;24;15/05/2021
225381;6880,02;2;9,08;99;16/05/2021
215589;17222,01;2,33;9,42;214;17/05/2021
